INSTNM,MD_EARN_WNE_P10,CCBASIC,CCSIZSET,CCUGPROF,TUITIONFEE_OUT,APPL_SCH_PCT_GE5,FEMALE,PFTFTUG1_EF,GT_THRESHOLD_1YR,VETERAN,MARRIED,COMPL_RPY_1YR_RT,COMP_ORIG_YR6_RT,DEP_COMP_ORIG_YR4_RT,WDRAW_ORIG_YR2_RT,NOT1STGEN_COMP_ORIG_YR2_RT,UG25ABV
Alabama A & M University,40628.0,18.0,14.0,10.0,18634.0,0.3631512869,0.5640301318,0.876,355.0,0.003138732,0.0091023227,0.3366762178,0.30275974026,0.222222222222,0.329314720812,0.052287581699,0.0617
University of Alabama at Birmingham,54501.0,15.0,15.0,9.0,21216.0,0.1076951742,0.6390907397,0.6484,2290.0,0.0031675051,0.1050866406,0.5745573159,0.540062843676,0.483064963909,0.201492537313,0.147872340426,0.1794
Amridge University,37621.0,20.0,6.0,5.0,,0.1587837838,0.6486486486,,20.0,0.0405405405,0.2364864865,0.3333333333,0.084848484848,,0.534482758621,,0.8606
University of Alabama in Huntsville,61767.0,15.0,13.0,15.0,24770.0,0.1025533696,0.4763499372,0.6376,880.0,,0.1004604437,0.6408888889,0.480613165014,0.359408033827,0.209604153147,0.094076655052,0.1519
Alabama State University,34502.0,17.0,14.0,10.0,19396.0,0.2903354633,0.6134185304,0.8791,316.0,,0.0079872204,0.2446808511,0.322360953462,0.25,0.327094474153,0.061983471074,0.0677
The University of Alabama,59221.0,15.0,16.0,12.0,32300.0,0.2022556391,0.6152524168,0.8647,4092.0,0.0039742213,0.0537056928,0.6572383646,0.619616204691,0.585067873303,0.109710458932,0.090755593077,0.0735
Central Alabama Community College,33506.0,5.0,2.0,1.0,8740.0,0.1130841121,0.6037383178,0.604,87.0,,0.0962616822,0.2702702703,0.126637554585,0.18085106383,0.5,,0.1565
Athens State University,50273.0,22.0,9.0,5.0,,0.0403645833,0.705078125,,671.0,,0.361328125,0.5269058296,0.599499374218,0.690082644628,0.200923787529,0.309782608696,0.5569
Auburn University at Montgomery,44391.0,18.0,13.0,7.0,19348.0,0.152301665,0.6929480901,0.5168,574.0,0.0048971596,0.0729676787,0.5849335303,0.311836734694,0.252669039146,0.287521079258,0.140077821012,0.2031
Auburn University,65337.0,15.0,15.0,14.0,32960.0,0.1297952693,0.531504671,0.8222,3003.0,0.0023852117,0.0222619758,0.7699652778,0.731697506034,0.668747704737,0.100887282287,0.109869646182,0.04
Birmingham-Southern College,59481.0,21.0,11.0,12.0,21250.0,0.3778280543,0.520361991,0.9037,109.0,,,0.7679558011,0.643171806167,,0.130612244898,,0.017
Chattahoochee Valley Community College,36438.0,4.0,2.0,2.0,8730.0,0.1393162393,0.611965812,0.4515,91.0,0.0102564103,0.1905982906,0.3896103896,0.135817307692,0.135646687697,0.408858603066,0.151515151515,0.3301
South University-Montgomery,34421.0,22.0,6.0,7.0,17014.0,0.0544449171,0.7628668652,0.1494,2104.0,0.0162342266,0.2367077839,0.3869922751,0.178076996017,0.1592670895,0.354831560284,0.21875,0.6804
Enterprise State Community College,42572.0,2.0,2.0,2.0,8670.0,0.0786729858,0.5165876777,0.6041,20.0,0.0113744076,0.1213270142,,0.123473541384,0.105919003115,0.50284629981,,0.2244
Coastal Alabama Community College,34894.0,4.0,3.0,2.0,8670.0,0.1052631579,0.6531791908,0.6282,219.0,0.0045634317,0.0955278369,0.523297491,0.176358798936,0.112831858407,0.509015971149,0.082595870206,0.2206
Faulkner University,43457.0,18.0,10.0,7.0,23920.0,0.1409966025,0.6387315968,0.4128,444.0,,0.167610419,0.3508500773,0.326674500588,0.255617977528,0.314669652856,0.196629213483,0.4247
Gadsden State Community College,32937.0,7.0,3.0,2.0,6984.0,0.070688379,0.6180606958,0.6168,375.0,0.0066617321,0.1236121392,,0.179824561404,0.212483399734,0.568310428456,0.21935483871,0.3261
George C Wallace Community College-Dothan,31399.0,7.0,3.0,1.0,8610.0,0.0547630005,0.667740451,0.4975,366.0,0.0046019328,0.1251725725,,0.265512265512,0.224919093851,0.476651982379,0.195945945946,0.3198
George C Wallace State Community College-Hanceville,39842.0,7.0,3.0,2.0,8670.0,0.0544049459,0.6312210201,0.527,516.0,0.0040185471,0.142503864,0.6070133011,0.269949066214,0.266470009833,0.497677119628,0.176470588235,0.2306
George C Wallace State Community College-Selma,31598.0,5.0,2.0,1.0,8370.0,0.1324675325,0.5991341991,0.7062,85.0,0.0112554113,0.0536796537,,0.236187845304,0.252403846154,0.471578947368,,0.2114
Herzing University-Birmingham,36909.0,26.0,6.0,5.0,12750.0,0.0655923455,0.8135465189,0.1064,1961.0,0.0093163792,0.2312728188,0.3902261123,0.351520086862,0.370434782609,0.316366704162,0.301619433198,0.7664
Huntingdon College,49601.0,22.0,8.0,10.0,28350.0,0.2352071006,0.4704142012,0.8687,166.0,,0.0828402367,0.5667870036,0.572192513369,0.469696969697,0.152542372881,0.117647058824,0.0441
Heritage Christian University,42597.0,24.0,6.0,5.0,11632.0,,,0.1667,,,0.56,,,,,,0.5833
J. F. Drake State Community and Technical College,28281.0,8.0,1.0,1.0,8640.0,0.0422322775,0.5610859729,0.2244,16.0,0.0196078431,0.1236802413,,0.088607594937,,0.672297297297,,0.4725
Jacksonville State University,45235.0,18.0,13.0,11.0,21912.0,0.0984562607,0.5886792453,0.791,1118.0,,0.0963979417,0.529972752,0.466340269278,0.428824049514,0.212661339889,0.11227154047,0.1258
Jefferson State Community College,40719.0,8.0,3.0,1.0,8910.0,0.1015857284,0.660555005,0.4002,370.0,0.0052031715,0.1337958375,0.6032906764,0.171214788732,0.117101937658,0.517208863744,0.098701298701,0.2701
John C Calhoun State Community College,38192.0,5.0,3.0,1.0,8750.0,0.0785436226,0.5809480192,0.455,311.0,0.0052667735,0.1378520724,0.5598591549,0.131381892444,0.124187725632,0.553366926248,0.096296296296,0.2773
Lawson State Community College,31701.0,4.0,2.0,2.0,8670.0,0.1512841091,0.5682182986,0.4276,183.0,0.0040128411,0.0497592295,,0.136253041363,0.15671641791,0.560842433697,0.135869565217,0.3378
University of West Alabama,44232.0,18.0,13.0,7.0,20090.0,0.15,0.5577586207,0.3812,212.0,,0.0448275862,0.461971831,0.226984126984,0.141372141372,0.342931937173,,0.373
Lurleen B Wallace Community College,32307.0,5.0,2.0,2.0,8670.0,0.0904007456,0.624417521,0.741,150.0,,0.1202236719,,0.308219178082,0.299191374663,0.477756286267,0.315789473684,0.1459
Marion Military Institute,59644.0,1.0,1.0,4.0,15538.0,0.1994680851,0.2340425532,0.9198,,,,0.5494505495,0.326732673267,,0.38,,
